分支,策略,计划费_万元,调整费_万元,紧急费_万元,合计_万元
4-2,波动电价预测策略,1404.1883903308728,0.0,69.89293115862114,1474.081321489494
4-2,固定电价参考策略,1404.4326697443312,0.0,71.66257154892598,1476.0952412932572
4-2,未来价格已知参考,1391.1363453916085,0.0,73.53042610488595,1464.6667714964944
4-3,波动电价预测策略,1377.8495350459202,50.23342905765723,12.15742306131597,1440.2403871648935
4-3,固定电价参考策略,1381.2280914300566,50.05563736025171,12.17360988193119,1443.4573386722395
4-3,未来价格已知参考,1364.981667839993,50.261676304837785,14.149386453811626,1429.3927305986422
