组合,使用预报,天数,初始计划量_kWh,最终常规量_kWh,紧急购电量_kWh,收到总电量_kWh,计划费_元,调整费_元,紧急费_元,合计费用_元,弃电量_kWh,充电量_kWh,放电量_kWh,期初储电量_kWh,期末储电量_kWh,调整提交次数,MILP求解次数
∅,0,334,21932296.394763134,21932296.394763134,126972.51704772095,22059268.911810856,13460229.14466284,0.0,747173.0894502773,14207402.234113118,2893831.8637726046,6457811.771413683,5231564.218342098,7108.956097817138,6290.41887891168,0,334
{6},"0,6",334,21533813.35409708,21749318.336198896,94578.6683673723,21843897.004566267,13184766.143126516,211122.31830098794,580165.0677285994,13976053.529156104,2664766.459416077,6529292.788609115,5289351.738425589,6984.396270250423,6290.41887891168,334,668
{12},"0,12",334,21301237.505189124,21538040.370178908,113938.59544963595,21651978.965628546,13027382.179628048,253395.20892783752,625466.7554424952,13906244.14399838,2457024.817632472,6613680.187192488,5357915.534163083,6984.396270250423,6057.082340065525,334,668
{18},"0,18",334,21150711.906505447,21347876.54992441,84943.38947520722,21432819.93939962,12922576.746854113,369782.26569907955,440656.92694171245,13733015.939494906,2250595.166495637,6547273.496417324,5304238.21848001,7108.956097817138,6057.082340065525,334,668
"{6,12}","0,6,12",334,20910659.23403795,21357907.484682694,76272.289636726,21434179.77431942,12748431.807677306,469451.76382304815,460787.2945490768,13678670.866049431,2230347.8195594097,6661191.188482485,5396548.728689142,6984.396270250423,5891.211805441595,668,1002
"{6,18}","0,6,18",334,20730946.31565187,21194880.668389603,39034.58097823119,21233915.249367833,12628811.503545063,625334.888811351,220380.80705291015,13474527.199409325,2035529.2632312104,6632528.195727825,5373331.704557867,6984.396270250423,5891.211805441595,668,1002
"{12,18}","0,12,18",334,21003865.07386027,21344153.730506893,95561.45050126349,21439715.181008156,12819204.531096302,403718.92162115546,498345.58276021417,13721269.035477672,2236585.348244981,6656710.107019351,5392769.769222842,6984.396270250423,6057.082340065525,668,1002
"{6,12,18}","0,6,12,18",334,20527257.44389791,21124276.983936574,51328.706869246496,21175605.690805823,12492137.135329388,675387.1852427266,290173.28661921964,13457697.607191335,1962697.7960879905,6708959.293523644,5435240.89377248,6984.396270250423,5891.211805441595,1002,1336
