分支,策略,模式,天数,计划量_kWh,紧急购电量_kWh,收到总电量_kWh,计划费_元,调整费_元,紧急费_元,合计费用_元,弃电量_kWh,充电量_kWh,放电量_kWh,期初储电量_kWh,期末储电量_kWh,调整提交次数,MILP求解次数,预估费用_元,充电加权均价_元每kWh,放电加权均价_元每kWh,紧急购电加权均价_元每kWh,相对降幅,初始计划量_kWh,最终常规量_kWh,上调量_kWh,下调量_kWh
4-2,波动电价预测策略,forecast,334.0,21705434.99206996,116391.01767719282,21821826.009747155,14041883.903308729,0.0,698929.3115862114,14740813.21489494,2645486.056827812,6514942.61643805,5277792.158485377,7007.443720668558,6242.289086706764,0.0,334.0,14596093.071785988,0.5179270931186448,1.1413613821657789,1.2010021486789846,,,,,
4-2,固定电价参考策略,fixed,334.0,21712419.07428393,118831.02988177292,21831250.1041657,14044326.697443312,0.0,716625.7154892598,14760952.412932571,2663450.5035784454,6469786.521680462,5241176.41605987,6933.846027578407,6212.364362360466,0.0,334.0,13978127.403619865,0.5224612726242939,1.153720530482515,1.2061255653548455,,,,,
4-2,未来价格已知参考,oracle,334.0,21772148.388014268,122681.08320212414,21894829.47121638,13911363.453916086,0.0,735304.2610488595,14646667.714964945,2658729.2684833165,6829301.070883345,5532390.36311693,6970.753227310035,6241.3135590709135,0.0,334.0,14646667.714964947,0.5027162858961131,1.1200669217139954,1.1987247615631227,,,,,
4-2,ΔJ（固定电价 − 波动电价）,,,,,,,,,20139.19803763181,,,,,,,,,,,,0.0013643562741918452,,,,
4-3,波动电价预测策略,forecast,334.0,21344252.600354813,23843.416044193775,21781224.812828343,13778495.350459201,502334.2905765723,121574.23061315971,14402403.871648932,2601538.4189685807,6532762.596368124,5292265.697475036,6908.5888901309045,6099.7062047416275,1002.0,1336.0,14265283.078088554,0.5168391152188634,1.1496236888496805,1.0197719184853538,,21344252.600354813,21757381.396784153,413128.7964293279,0.0
4-3,固定电价参考策略,fixed,334.0,21385876.633851767,22524.405174722517,21819857.007182166,13812280.914300567,500556.37360251707,121736.0988193119,14434573.386722395,2636476.6989731444,6551995.517520798,5307804.70427843,6834.9911970407575,6070.17443416464,1002.0,1336.0,13670719.17469066,0.5224693690038577,1.153618430206119,1.0809262031560984,,21385876.633851767,21797332.602007452,411455.96815568156,0.0
4-3,未来价格已知参考,oracle,334.0,21401596.98313832,30443.76304208924,21850943.4813698,13649816.67839993,502616.7630483779,141493.86453811626,14293927.305986425,2619649.442835725,6804247.5214198865,5512142.9778524665,6871.898396772383,6091.358949706342,1002.0,1336.0,14293927.305986425,0.5009851389943927,1.131324223031538,0.9295425427040516,,21401596.98313832,21820499.71832771,418902.7351893933,0.0
4-3,ΔJ（固定电价 − 波动电价）,,,,,,,,,32169.51507346332,,,,,,,,,,,,0.002228643286614509,,,,
