组合,计划费_万元,调整费_万元,紧急费_万元,合计_万元
∅,1346.022914466284,0.0,74.71730894502772,1420.7402234113117
{6},1318.4766143126515,21.112231830098793,58.01650677285994,1397.6053529156102
{12},1302.7382179628048,25.339520892783753,62.546675544249524,1390.6244143998379
{18},1292.2576746854113,36.97822656990795,44.06569269417125,1373.3015939494906
"{6,12}",1274.8431807677307,46.945176382304815,46.07872945490768,1367.8670866049433
"{6,18}",1262.8811503545062,62.533488881135106,22.038080705291016,1347.4527199409324
"{12,18}",1281.9204531096302,40.37189216211554,49.83455827602142,1372.1269035477671
"{6,12,18}",1249.2137135329388,67.53871852427265,29.017328661921965,1345.7697607191333
对照,1285.37672764879,55.87480898454071,24.580522639362595,1365.8320592726934
