分支,策略,模式,天数,计划量_kWh,紧急购电量_kWh,收到总电量_kWh,计划费_元,调整费_元,紧急费_元,合计费用_元,弃电量_kWh,充电量_kWh,放电量_kWh,期初储电量_kWh,期末储电量_kWh,调整提交次数,MILP求解次数,预估费用_元,充电加权均价_元每kWh,放电加权均价_元每kWh,紧急购电加权均价_元每kWh,相对降幅,初始计划量_kWh,最终常规量_kWh,上调量_kWh,下调量_kWh
4-2,波动电价预测策略,forecast,334.0,21705434.99206996,116391.01767719282,21821826.009747155,14041883.903308729,0.0,698929.3115862114,14740813.21489494,2645486.056827812,6514942.61643805,5277792.158485377,7007.443720668558,6242.289086706764,0.0,334.0,14596093.071785988,0.5179270931186448,1.1413613821657789,1.2010021486789846,nan,nan,nan,nan,nan
4-2,固定电价参考策略,fixed,334.0,21712419.07428393,118831.02988177292,21831250.1041657,14044326.697443312,0.0,716625.7154892598,14760952.412932571,2663450.5035784454,6469786.521680462,5241176.41605987,6933.846027578407,6212.364362360466,0.0,334.0,13978127.403619865,0.5224612726242939,1.153720530482515,1.2061255653548455,nan,nan,nan,nan,nan
4-2,未来价格已知参考,oracle,334.0,21772148.388014268,122681.08320212414,21894829.47121638,13911363.453916086,0.0,735304.2610488595,14646667.714964945,2658729.2684833165,6829301.070883345,5532390.36311693,6970.753227310035,6241.3135590709135,0.0,334.0,14646667.714964947,0.5027162858961131,1.1200669217139954,1.1987247615631227,nan,nan,nan,nan,nan
4-2,ΔJ（固定电价 − 波动电价）,,nan,nan,nan,nan,nan,nan,nan,20139.19803763181,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0013643562741918452,nan,nan,nan,nan
4-3,波动电价预测策略,forecast,334.0,21399492.239375766,29324.64830200366,20871524.980123386,13802988.735824505,197228.00994300997,153068.78715837083,14153285.532925885,1667711.9277934725,6660355.207257596,5395731.6498943465,6827.2703146576,5889.568074995451,1002.0,1336.0,14015013.488793878,0.5223897034812808,1.1468991954465315,1.043959917827299,nan,21399492.239375766,20842200.331821382,436206.27166524326,993498.1792196402
4-3,固定电价参考策略,fixed,334.0,21450543.4387873,28208.697189147195,20913764.79982768,13841149.646287687,192887.72300815437,155479.27317774243,14189516.642473584,1706277.3004920254,6679663.9994883,5411365.9951193,6760.612210008646,5829.328283588629,1002.0,1336.0,13440179.162102025,0.5280680961626947,1.1508835485107085,1.1023499038981526,nan,21450543.4387873,20885556.102638524,433541.34995526046,998528.6861040216
4-3,未来价格已知参考,oracle,334.0,21522803.458190683,35342.38345811514,20982354.8424269,13726006.874882936,176274.14368953623,173390.97748690177,14075671.996059373,1729720.166837657,6917011.757024391,5603566.576401809,6789.070574823239,5914.5670058758915,1002.0,1336.0,14075671.996059375,0.5057089633918901,1.1296734309754173,0.9812070410723168,nan,21522803.458190683,20947012.45896877,432070.6321902839,1007861.631412176
4-3,ΔJ（固定电价 − 波动电价）,,nan,nan,nan,nan,nan,nan,nan,36231.10954769887,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002553371651804405,nan,nan,nan,nan
