分支,策略,计划费_万元,调整费_万元,紧急费_万元,合计_万元
4-2,波动电价预测策略,1404.1883903308728,0.0,69.89293115862114,1474.081321489494
4-2,固定电价参考策略,1404.4326697443312,0.0,71.66257154892598,1476.0952412932572
4-2,未来价格已知参考,1391.1363453916085,0.0,73.53042610488595,1464.6667714964944
4-3,波动电价预测策略,1380.2988735824506,19.722800994300997,15.306878715837083,1415.3285532925886
4-3,固定电价参考策略,1384.1149646287688,19.288772300815438,15.547927317774244,1418.9516642473586
4-3,未来价格已知参考,1372.6006874882937,17.627414368953623,17.339097748690175,1407.5671996059375
